"","location.bin","xT","location.y","location.x"
"1",1,0.000506912274558115,5,5
"2",2,0.000568316316041856,15,5
"3",3,0.000735345736380247,25,5
"4",4,0.0010914090001975,35,5
"5",5,0.00114034304432131,45,5
"6",6,0.000797315500409156,55,5
"7",7,0.000868083017399772,65,5
"8",8,0.0006323451052141,75,5
"9",9,0.000611530985103232,5,15
"10",10,0.000935163024769862,15,15
"11",11,0.00115368570408372,25,15
"12",12,0.00138425904910262,35,15
"13",13,0.00143562891057641,45,15
"14",14,0.00131437859768301,55,15
"15",15,0.00104007123574297,65,15
"16",16,0.000825943610734214,75,15
"17",17,0.000949759535033838,5,25
"18",18,0.00134508900621227,15,25
"19",19,0.00142212114079361,25,25
"20",20,0.00149616673991777,35,25
"21",21,0.00157489982497713,45,25
"22",22,0.00156896704668558,55,25
"23",23,0.00136026736687319,65,25
"24",24,0.00107642479130454,75,25
"25",25,0.0012579470188427,5,35
"26",26,0.00168779149710082,15,35
"27",27,0.00182530818906181,25,35
"28",28,0.00195830518414374,35,35
"29",29,0.00196078091364878,45,35
"30",30,0.00188978353745825,55,35
"31",31,0.00199488533112154,65,35
"32",32,0.00146420483923642,75,35
"33",33,0.00170427837548412,5,45
"34",34,0.00213955735380605,15,45
"35",35,0.00232902964046625,25,45
"36",36,0.00244667013079285,35,45
"37",37,0.00257350312003343,45,45
"38",38,0.0025303112141587,55,45
"39",39,0.00221062754501937,65,45
"40",40,0.00191363471660432,75,45
"41",41,0.00239444475714661,5,55
"42",42,0.00274725929093184,15,55
"43",43,0.00314799079737966,25,55
"44",44,0.00326575385413692,35,55
"45",45,0.00319857536180924,45,55
"46",46,0.00309955693189342,55,55
"47",47,0.00300152573312654,65,55
"48",48,0.00241987650098855,75,55
"49",49,0.00328206197272676,5,65
"50",50,0.00388349325387682,15,65
"51",51,0.00440080543241527,25,65
"52",52,0.00503795344323561,35,65
"53",53,0.00467167810542146,45,65
"54",54,0.00480591725223595,55,65
"55",55,0.00415041951931105,65,65
"56",56,0.00360826681590511,75,65
"57",57,0.00456121053860955,5,75
"58",58,0.00539264010258322,15,75
"59",59,0.00641240833616639,25,75
"60",60,0.00803145326399566,35,75
"61",61,0.0071783828503734,45,75
"62",62,0.00670010125718836,55,75
"63",63,0.00587489430991037,65,75
"64",64,0.00499677579607786,75,75
"65",65,0.00676919385684887,5,85
"66",66,0.00848655032733324,15,85
"67",67,0.00999391615093578,25,85
"68",68,0.0107035136051202,35,85
"69",69,0.0128041104359654,45,85
"70",70,0.0101894594619299,55,85
"71",71,0.00902474934901619,65,85
"72",72,0.00725688439668392,75,85
"73",73,0.00961596524304396,5,95
"74",74,0.0117595087695334,15,95
"75",75,0.0153190379479357,25,95
"76",76,0.0212227365591254,35,95
"77",77,0.0228745580755627,45,95
"78",78,0.0165390600088539,55,95
"79",79,0.0120404820051329,65,95
"80",80,0.00910160880656145,75,95
"81",81,0.0123748785420148,5,105
"82",82,0.0157379368226028,15,105
"83",83,0.0278249695093779,25,105
"84",84,0.0973204723133427,35,105
"85",85,0.086366362507105,45,105
"86",86,0.0311875982719018,55,105
"87",87,0.0156827908991368,65,105
"88",88,0.0123166049221421,75,105
"89",89,0.024421678850529,5,115
"90",90,0.0169730962630568,15,115
"91",91,0.0315501118916627,25,115
"92",92,0.143506104859585,35,115
"93",93,0.158138357048076,45,115
"94",94,0.0322880909213978,55,115
"95",95,0.0174496778014738,65,115
"96",96,0.0232923583927016,75,115
